transaction_id,user_id,amount,transaction_type,merchant_category,location,device_type,payment_method,hour,is_international,is_new_device,transactions_last_24h,avg_amount_last_30d,account_age_days,distance_from_usual_location_km,failed_transactions_last_24h,label
TXN1000000,U102909,3374.59,POS,gaming,"Chennai, TN",desktop,UPI,22,0,0,1,2284.68,770,11.9,0,0
TXN1000001,U103074,3761.45,UPI,shopping,"Kolkata, WB",mobile,debit_card,17,0,0,0,2982.28,153,14.5,0,0
TXN1000002,U100607,1499.79,ATM,electronics,"Delhi, DL",desktop,credit_card,15,0,0,1,1175.43,1950,26.1,0,0
TXN1000003,U102429,514.66,ONLINE,utilities,"Guwahati, AS",mobile,UPI,14,0,0,0,847.26,3023,2.1,0,0
TXN1000004,U102807,10837.44,ONLINE,education,"Lucknow, UP",mobile,debit_card,10,0,0,1,3022.05,2422,14.7,1,0
TXN1000005,U100805,9636.31,ATM,travel,"Pune, MH",mobile,UPI,16,0,0,2,1674.54,2100,33.9,0,0
TXN1000006,U100146,684.14,UPI,utilities,"Indore, MP",mobile,credit_card,22,0,0,0,1810.1,3088,8.0,0,0
TXN1000007,U100639,1095.45,UPI,food,"Delhi, DL",mobile,debit_card,5,0,0,1,4771.65,230,2.6,0,0
TXN1000008,U102576,2447.73,POS,shopping,"Surat, GJ",tablet,UPI,23,0,0,1,2504.08,436,10.1,0,0
TXN1000009,U102414,1069.66,UPI,entertainment,"Jaipur, RJ",desktop,credit_card,20,0,0,1,1887.64,3156,4.0,0,0
TXN1000010,U103111,12263.78,UPI,shopping,"Surat, GJ",mobile,UPI,14,0,0,1,3799.6,996,1066.2,0,0
TXN1000011,U101106,540.44,UPI,entertainment,"Visakhapatnam, AP",mobile,credit_card,4,0,0,2,894.29,3366,0.3,0,0
TXN1000012,U102143,1281.93,ONLINE,food,"Pune, MH",mobile,UPI,14,0,0,3,1680.97,3558,19.9,3,0
TXN1000013,U100095,603.47,BANK_TRANSFER,entertainment,"Guwahati, AS",tablet,UPI,23,0,0,0,1525.21,2874,4.5,1,0
TXN1000014,U103264,750.53,BANK_TRANSFER,groceries,"Patna, BR",tablet,debit_card,19,0,0,3,2045.35,2094,12.2,0,0
TXN1000015,U101919,4119.56,ONLINE,gaming,"Bengaluru, KA",desktop,UPI,18,0,0,1,2489.99,1438,6.4,1,0
TXN1000016,U102603,2649.0,POS,healthcare,"Visakhapatnam, AP",mobile,UPI,22,0,0,3,2379.94,603,13.1,0,0
TXN1000017,U100995,428.67,ATM,utilities,"Chennai, TN",tablet,credit_card,17,0,0,2,725.58,419,20.2,1,0
TXN1000018,U100286,1045.05,UPI,utilities,"Lucknow, UP",tablet,credit_card,8,0,0,1,1735.74,1319,923.8,0,0
TXN1000019,U100212,2557.67,ONLINE,travel,"Chennai, TN",mobile,credit_card,20,0,0,3,1797.65,2965,3.0,0,0
TXN1000020,U102851,1068.77,UPI,utilities,"Kochi, KL",mobile,debit_card,13,0,0,1,1542.34,1114,1.7,0,0
TXN1000021,U100536,1316.02,UPI,entertainment,"Surat, GJ",desktop,UPI,21,0,1,0,1815.38,1014,19.9,4,1
TXN1000022,U102884,837.48,UPI,gaming,"Jaipur, RJ",tablet,UPI,20,0,0,1,661.04,710,3.4,0,0
TXN1000023,U100937,911.96,POS,gaming,"Guwahati, AS",desktop,UPI,7,0,1,1,1612.42,1875,4.4,0,0
TXN1000024,U101868,2809.11,ATM,gaming,"Kochi, KL",mobile,UPI,18,0,0,1,1551.57,255,16.1,0,0
TXN1000025,U100930,247.93,UPI,food,"Indore, MP",mobile,UPI,21,0,0,0,591.22,2922,9.7,0,0
TXN1000026,U100166,2069.21,ONLINE,shopping,"Pune, MH",mobile,credit_card,13,0,0,4,1667.21,548,24.3,0,0
TXN1000027,U101873,973.22,POS,gaming,"Patna, BR",mobile,debit_card,22,1,0,1,1168.59,175,7.5,0,0
TXN1000028,U101266,4622.58,ATM,travel,"Guwahati, AS",mobile,UPI,16,0,0,2,2820.03,1226,9.4,1,0
TXN1000029,U101488,1465.21,ONLINE,groceries,"Visakhapatnam, AP",mobile,net_banking,13,0,0,3,3579.49,505,984.3,0,0
TXN1000030,U102075,310.8,UPI,utilities,"Pune, MH",mobile,UPI,22,0,0,5,1024.62,2444,5.9,0,0
TXN1000031,U101092,2744.2,UPI,healthcare,"Bhopal, MP",mobile,UPI,23,0,0,0,1386.61,3135,11.0,0,0
TXN1000032,U101945,2234.19,ONLINE,education,"Mumbai, MH",mobile,UPI,18,0,0,1,1609.98,1976,2.9,0,0
TXN1000033,U102273,841.13,UPI,utilities,"Indore, MP",mobile,UPI,20,0,0,3,2536.35,413,5.9,0,0
TXN1000034,U100316,3371.94,UPI,healthcare,"Visakhapatnam, AP",mobile,UPI,12,1,0,2,1550.11,1225,5.1,0,0
TXN1000035,U101212,2718.4,BANK_TRANSFER,groceries,"Kolkata, WB",mobile,debit_card,17,0,1,2,2703.84,2527,17.8,0,0
TXN1000036,U100317,277.72,POS,fuel,"Ahmedabad, GJ",mobile,UPI,15,0,0,1,924.51,2399,5.7,0,0
TXN1000037,U100026,5735.49,UPI,gaming,"Bhopal, MP",mobile,credit_card,18,0,1,2,1201.04,1984,0.2,0,0
TXN1000038,U100170,6201.95,UPI,travel,"Guwahati, AS",mobile,UPI,19,0,0,1,773.26,1280,1484.2,0,0
TXN1000039,U102042,1156.04,POS,insurance,"Coimbatore, TN",mobile,UPI,18,0,0,3,1017.86,1245,3.1,0,0
TXN1000040,U100294,1393.55,UPI,groceries,"Hyderabad, TS",mobile,debit_card,12,0,1,1,3259.6,2060,5.9,0,0
TXN1000041,U103035,5958.08,ONLINE,healthcare,"Lucknow, UP",mobile,debit_card,20,0,0,0,4851.93,1946,1.1,0,0
